CO_CURSO,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79
1315422,6,6,6,6,6,6,6,6,6,6,6
7940,6,6,6,6,6,6,6,6,1,6,3
11726,4,4,6,7,7,3,3,5,1,6,6
97990,6,6,6,7,6,6,6,6,6,1,1
83126,1,6,6,6,6,6,6,6,6,6,1
11220,6,7,4,7,6,1,2,6,4,5,6
57544,6,4,4,1,6,6,6,6,6,1,1
11320,2,6,5,3,4,3,4,5,6,1,6
1385988,6,6,6,6,6,6,6,6,6,1,1
2015,6,4,5,6,6,3,4,6,4,1,1
8045,6,6,6,6,8,6,6,6,1,4,1
5001269,6,6,6,6,6,3,3,6,6,6,1
12311,2,5,7,7,8,5,5,6,6,2,1
57616,5,5,6,5,6,5,5,6,4,6,6
1382641,7,7,7,6,7,2,3,6,6,1,1
1286550,6,6,6,6,6,6,6,6,6,1,1
5001334,6,6,6,6,6,6,6,6,6,1,1
74234,6,6,6,5,3,6,6,6,6,3,3
2198,6,6,6,6,6,6,6,5,6,1,1
121093,6,6,6,6,7,6,6,6,6,1,1
1187550,3,3,3,3,3,3,3,3,3,3,3
1072001,7,6,6,6,6,6,6,6,6,6,6
3560,4,4,6,6,6,6,6,6,4,4,3
11457,3,7,5,7,7,6,6,6,6,1,1
88026,3,1,1,1,1,3,3,1,1,6,6
19582,6,6,6,6,6,6,6,6,5,5,5
1285026,6,6,6,6,5,6,5,5,4,5,1
15214,3,3,2,2,2,2,3,3,3,3,3
67965,4,4,7,7,7,5,5,6,4,1,1
1283876,6,6,6,6,6,6,6,6,6,6,6
101411,6,6,6,2,8,6,6,6,6,1,1
21153,6,6,6,6,6,6,6,6,6,1,1
8474,6,5,5,5,8,5,5,6,6,1,5
16210,6,6,6,6,6,6,6,6,6,6,6
39132,6,7,7,8,1,8,6,6,1,6,6
22018,6,6,6,6,6,6,6,6,6,1,1
100296,8,5,5,3,4,4,4,5,5,4,4
1342813,6,6,5,5,7,5,5,5,6,1,2
87284,7,7,5,7,7,7,6,6,6,5,1
5000868,6,6,6,6,6,6,6,6,6,1,1
119246,6,6,6,6,6,5,5,6,6,6,5
77272,6,3,5,5,5,5,5,5,5,2,4
963,6,6,6,7,7,5,6,5,6,2,1
8763,4,5,5,4,5,5,6,6,4,4,5
48011,6,6,6,6,6,6,6,6,6,6,1
19537,7,7,5,7,5,5,5,6,6,3,1
1427657,6,6,6,6,6,6,6,4,6,1,1
116640,4,4,4,7,7,4,4,4,5,5,6
1404145,8,5,5,5,5,5,5,5,5,5,5
1177105,6,6,6,7,6,6,6,6,6,1,1
1190041,6,7,7,1,8,1,2,3,2,4,6
1279511,6,5,6,6,1,5,5,6,3,2,6
66290,4,3,5,7,5,3,2,2,5,5,4
10336,6,7,6,6,6,5,3,3,1,6,6
68566,1,4,6,6,6,4,4,6,6,2,2
50045,6,6,6,6,6,6,6,6,6,1,1
6328,4,4,3,4,4,4,4,4,4,4,3
1190157,6,3,6,8,8,6,5,4,6,2,4
1336912,7,5,5,5,8,5,5,5,5,4,2
121026,6,5,6,6,7,5,5,6,6,2,5
97982,6,6,6,4,8,6,6,6,6,3,1
111438,6,5,5,7,7,6,6,6,6,1,4
18424,1,1,1,2,4,1,1,6,2,6,4
1425230,8,6,6,6,8,5,5,1,6,8,6
90841,5,6,6,6,6,6,6,6,6,6,6
96627,2,3,3,3,4,5,3,5,4,3,2
80293,6,5,5,5,6,4,5,5,5,3,4
111720,6,5,5,5,7,6,6,2,4,2,6
12311,6,5,6,7,8,6,4,6,5,2,2
109188,5,4,6,6,4,6,6,6,6,6,6
18864,3,5,5,6,6,6,6,4,6,2,2
6055,5,4,4,4,4,5,5,3,2,4,1
120201,4,6,6,7,7,5,5,8,8,6,6
66290,8,6,4,6,1,4,5,6,6,6,6
99008,6,7,6,7,8,6,6,1,6,6,1
1331295,6,6,6,3,3,6,6,6,6,1,6
1279540,6,6,6,6,3,5,4,5,6,3,1
58790,3,2,3,1,1,1,1,6,6,1,1
104449,4,4,4,2,3,3,2,3,3,5,4
64587,6,6,6,6,7,6,6,1,2,6,1
66972,6,6,6,7,2,3,3,6,6,1,1
1126004,6,4,4,2,7,4,3,6,8,1,1
5275,6,6,6,6,6,6,6,6,6,6,6
121297,8,7,4,5,7,8,5,6,8,1,1
32885,6,4,6,6,6,6,6,6,6,3,1
1070572,6,8,4,4,8,4,4,5,5,5,1
60302,6,7,7,6,3,6,6,1,1,6,6
21772,6,6,6,6,6,5,5,6,5,6,6
74038,5,7,4,7,4,2,3,5,4,3,2
56188,6,6,6,5,6,6,6,6,5,2,3
54830,6,6,6,6,6,6,6,6,6,1,1
1143419,6,6,6,6,6,6,6,6,6,1,3
13703,3,6,6,6,6,6,4,6,6,2,1
1377502,1,4,6,6,6,6,6,2,5,4,6
1184730,6,6,5,7,4,4,3,3,2,4,6
31662,6,3,6,7,6,5,6,6,6,4,1
99962,7,6,6,3,1,6,6,6,6,1,1
1427581,8,5,5,5,5,5,5,5,5,5,2
15542,6,6,6,6,8,6,6,6,6,4,1
1284953,6,6,5,4,4,2,2,5,5,4,4
10435,6,1,1,1,7,4,4,8,8,8,1
1313521,4,7,6,6,7,6,6,6,3,6,6
100326,6,3,6,5,7,6,5,3,6,1,3
1323575,6,6,6,6,6,6,6,6,6,6,6
100326,6,3,3,3,3,3,3,6,6,3,1
1159796,6,8,6,8,8,5,6,6,6,1,1
1190204,6,4,5,5,7,5,5,5,5,5,5
6380,4,4,4,4,4,4,4,4,4,3,8
18829,6,6,6,6,6,6,6,6,6,1,1
100324,6,6,6,6,6,6,6,6,6,1,1
1170032,6,6,6,6,6,6,6,6,6,6,1
96127,6,6,6,7,7,5,4,6,6,7,6
1429212,6,6,6,4,6,6,5,5,6,4,4
1425408,6,6,6,6,1,1,6,6,6,1,1
1263681,6,6,6,6,6,6,6,6,6,1,4
83850,5,3,5,3,7,3,3,3,2,3,6
95855,6,5,6,7,6,5,5,2,6,4,1
68427,6,6,6,6,6,6,6,6,6,1,1
1116776,8,6,6,6,8,6,6,6,6,1,1
1143200,6,7,6,6,7,6,5,6,5,8,5
1260005,7,4,6,7,8,7,7,4,7,7,3
1279429,6,5,5,4,4,5,5,5,5,5,1
1465748,6,6,6,6,6,6,6,3,5,1,1
109188,5,4,5,3,6,5,5,5,5,3,3
1305247,5,5,5,4,1,3,3,6,5,5,5
94915,6,6,6,6,7,5,5,2,6,5,6
1436303,6,5,6,6,4,5,5,6,4,6,6
5001397,4,6,6,1,6,3,3,6,5,5,6
29462,3,4,5,4,7,4,4,4,6,1,3
46157,6,6,6,6,8,6,6,4,4,1,6
11294,1,6,6,6,5,4,4,2,4,4,1
42362,6,7,6,6,7,6,6,6,6,1,1
55830,6,1,1,2,6,2,6,6,6,6,6
1285815,6,6,6,5,7,5,5,5,6,1,1
1166211,6,4,6,1,1,5,6,6,3,1,1
24009,6,6,6,5,7,5,5,4,6,4,3
4964,6,1,6,6,6,6,6,6,6,6,1
21125,4,4,4,4,4,4,4,4,3,5,4
1110415,2,4,6,7,8,6,6,5,6,1,1
20651,6,4,6,4,4,4,4,6,6,5,2
80150,6,7,6,6,7,6,6,6,6,6,6
52779,6,6,6,6,6,6,6,6,6,1,1
16595,3,6,6,7,6,5,5,6,6,1,1
19533,6,7,6,2,7,3,4,6,1,4,1
117310,5,5,6,5,8,6,6,6,5,5,6
1445858,6,6,5,6,7,5,4,6,4,4,5
95781,6,7,6,8,8,6,6,6,6,8,8
47677,6,6,6,8,4,4,6,5,5,5,1
5737,6,6,6,6,7,6,6,6,6,1,1
20651,6,6,6,6,6,6,6,6,6,1,6
1314140,6,6,6,6,6,6,6,6,6,6,6
2111,6,5,6,7,7,4,4,6,1,6,1
121888,5,6,6,6,8,6,6,6,6,1,1
15075,6,7,7,3,4,5,5,5,4,6,5
59214,6,4,5,6,5,6,6,6,6,6,1
100326,8,6,6,6,1,6,6,6,6,1,1
52876,6,6,6,6,6,6,6,6,6,8,8
1126004,6,6,6,6,6,6,6,6,6,8,6
1160248,3,3,2,2,3,2,1,5,3,3,6
5129,6,7,5,7,4,5,6,6,6,3,1
14363,4,4,4,3,4,4,3,2,3,5,4
97980,6,6,6,6,6,6,6,6,6,4,1
1268059,7,8,6,6,8,6,5,8,6,8,1
1182053,6,6,6,5,5,6,6,6,6,1,1
73054,6,5,6,6,6,6,6,6,6,1,1
30338,5,4,4,7,7,4,5,5,5,2,1
56318,6,6,6,6,6,6,6,6,6,1,1
6723,6,4,4,4,4,4,4,4,4,4,4
1286492,8,8,8,3,8,8,8,8,8,8,8
1280496,6,6,6,6,6,6,6,6,6,1,1
1266725,6,6,6,6,6,6,6,6,6,1,1
2015,5,3,6,7,7,4,4,6,6,3,1
1122220,1,6,5,2,6,6,3,6,5,6,1
1258522,6,1,6,1,1,6,5,4,4,4,6
1078719,1,2,5,7,6,4,3,6,6,5,1
75124,4,6,6,8,8,6,5,5,5,5,1
5835,6,6,6,6,8,6,6,6,6,6,1
38852,6,6,6,6,6,6,6,6,6,6,6
1514189,6,6,6,6,8,5,6,3,8,8,8
1132448,6,6,6,7,8,7,6,6,6,1,7
55600,5,5,6,4,7,5,6,6,5,1,1
1165832,6,6,6,6,8,6,6,5,6,3,1
95393,8,2,3,7,5,7,8,4,8,2,2
19533,3,3,4,4,4,4,4,4,4,4,4
121214,6,1,4,4,6,5,4,3,1,6,6
10792,4,4,4,4,4,4,4,4,4,4,4
104380,3,3,3,7,3,3,4,3,3,3,6
303931,6,6,6,4,7,5,5,6,4,5,1
1278988,7,7,7,7,7,7,7,7,7,7,7
1454041,6,5,5,5,8,5,5,6,5,1,1
1279540,4,6,6,5,8,5,6,6,4,4,1
1132808,6,6,6,6,6,6,6,6,6,1,1
89459,2,1,2,1,2,4,2,2,1,4,5
97980,8,8,6,8,8,4,4,8,6,1,1
4933,6,6,6,6,6,6,6,6,6,1,1
18797,6,6,6,6,6,6,6,6,6,3,3
1537499,8,7,7,7,1,6,6,3,6,2,2
97980,3,1,1,2,8,3,2,6,3,3,1
105186,1,1,4,7,5,3,5,6,5,5,1
1445322,4,7,7,7,4,4,4,4,4,3,8
19303,6,7,6,6,6,6,6,6,6,1,1
31210,7,7,7,7,7,7,7,7,7,7,7
1342813,8,5,5,5,1,5,6,6,6,8,6
1170032,8,6,6,6,6,6,6,6,6,8,1
1170122,6,6,6,6,1,6,6,3,6,1,1
95791,6,5,5,5,6,5,5,6,6,2,2
1536449,8,8,5,8,8,6,6,6,8,8,8
9719,6,7,6,3,5,6,5,6,6,1,1
1313389,6,5,5,5,7,6,6,6,2,5,6
97982,7,8,8,3,3,3,3,8,8,8,1
118860,3,4,6,7,7,4,5,5,5,1,1
1387444,4,4,4,4,4,4,4,4,6,2,2
46807,6,5,6,6,5,6,6,6,6,1,1
1514098,7,7,7,7,7,6,6,6,6,1,1
5000736,6,4,6,4,4,6,6,6,4,4,4
21339,6,5,6,5,6,5,5,6,6,2,1
13968,1,4,4,4,7,4,3,5,4,3,1
1363507,6,7,6,7,7,6,6,6,6,1,1
96127,6,4,4,4,7,5,5,3,5,5,4
100326,6,6,6,6,6,6,6,6,6,1,1
1419552,3,6,6,7,5,6,6,6,6,6,1
89849,6,6,6,6,8,6,6,6,2,3,2
104490,6,3,3,3,2,6,5,5,3,6,6
7145,6,6,6,6,7,6,6,1,4,6,6
105944,7,7,7,6,6,6,6,6,6,6,6
13455,6,6,6,6,7,6,5,4,5,4,3
12699,5,5,5,5,6,5,4,6,5,3,1
2214,5,5,5,4,1,4,4,5,3,6,6
54977,5,6,6,6,4,6,6,6,6,4,4
14364,1,5,7,7,7,6,6,6,5,1,1
121093,6,3,6,6,1,3,3,6,3,1,1
104300,5,3,4,7,7,3,3,5,2,5,2
14778,6,6,6,6,6,6,6,5,6,5,4
27557,4,7,5,5,5,3,3,3,3,3,2
92761,6,8,6,7,6,7,6,8,8,7,6
1117245,5,2,4,4,4,5,3,4,4,5,6
122148,6,1,4,4,2,4,2,5,1,6,6
4594,6,6,6,6,6,5,5,6,6,2,1
87284,5,3,3,3,3,2,2,2,2,2,4
19537,2,2,5,4,5,4,5,4,4,4,2
1143200,6,6,7,6,7,6,6,6,6,2,7
52906,5,1,1,1,8,3,1,5,6,5,5
1314140,8,6,6,6,8,8,6,6,6,1,1
103398,3,5,5,3,8,8,4,4,5,5,5
1349480,6,4,6,6,2,3,4,5,6,6,3
1487785,6,6,6,6,6,6,6,6,6,1,1
7937,6,6,4,3,6,5,6,4,4,4,6
1491653,7,7,5,5,7,7,6,6,7,8,2
1267982,6,6,6,6,6,6,6,6,6,1,1
960,6,6,6,6,6,6,6,6,6,1,1
49690,5,4,7,7,6,5,4,5,5,4,4
80640,4,5,6,6,6,6,6,6,6,6,6
89855,6,6,6,6,6,6,6,6,6,1,1
1121369,6,6,5,5,7,4,5,5,5,2,1
9263,4,7,4,7,7,4,4,4,4,4,4
18385,6,3,3,7,7,3,3,6,6,1,1
1139921,8,8,8,6,8,8,8,6,8,8,6
37240,6,7,2,7,6,3,3,6,6,1,1
1280544,6,5,5,6,6,5,6,5,5,6,1
1351278,6,6,6,6,6,6,6,6,6,1,1
1178366,6,6,6,5,8,6,5,6,6,4,1
45857,6,6,6,6,6,6,6,6,5,3,1
7939,6,1,6,6,8,4,4,6,4,6,6
4075,6,6,6,6,6,6,6,6,6,1,1
5275,6,6,6,5,6,5,4,5,4,4,2
16624,6,6,6,4,5,6,5,6,5,3,1
7940,5,1,5,5,5,2,2,5,5,4,4
56160,5,7,5,7,7,5,4,4,6,6,6
44502,6,6,6,6,6,6,6,6,6,1,1
11318,3,6,6,6,6,4,4,3,5,4,1
1438643,6,6,6,6,6,6,6,6,6,8,6
67987,1,1,2,1,1,4,3,6,2,6,5
1258037,4,4,5,5,5,5,6,5,4,1,5
98976,2,1,4,2,4,5,4,4,3,6,6
43108,2,5,3,7,5,3,4,6,5,3,2
1205174,8,6,6,6,6,6,6,6,4,4,1
1423128,6,3,6,6,8,6,4,6,6,5,2
10794,6,6,4,1,2,2,1,6,1,6,6
121093,1,6,6,1,6,6,6,6,6,6,1
1077555,6,6,6,6,6,6,6,6,6,6,6
96711,8,3,4,7,6,4,5,6,6,1,1
1454772,8,6,6,6,6,6,6,6,6,6,1
1283947,6,6,6,6,6,5,6,6,4,4,6
1083680,3,7,4,7,6,4,3,6,6,6,1
87936,6,1,4,2,3,3,3,5,1,6,6
121093,6,6,6,5,6,6,6,5,6,1,1
1438525,6,6,6,6,7,7,6,6,4,3,1
1115471,8,7,6,7,6,8,8,8,8,8,6
87510,3,1,5,7,7,7,7,7,6,1,6
12314,6,6,6,7,7,5,6,6,5,6,4
148,2,7,6,6,6,6,6,6,6,4,1
10597,6,1,5,2,2,2,3,6,6,6,1
1427352,7,5,4,7,8,6,2,5,6,1,1
1314982,7,6,6,5,8,5,5,6,6,1,1
1454772,1,1,6,8,6,6,5,6,6,1,1
121026,6,6,6,6,7,6,6,6,6,1,5
1445261,6,4,4,4,8,4,5,4,6,1,3
112000,6,6,6,6,6,6,6,1,6,8,8
1159868,6,3,6,7,4,5,5,3,4,3,5
128,1,4,4,6,8,1,1,6,2,6,6
15744,1,5,4,1,4,5,5,5,5,5,3
7497,6,1,3,1,6,6,3,1,1,6,6
111148,6,6,6,6,6,6,6,6,6,1,1
5317,3,3,4,4,4,4,4,4,4,4,4
